ParticipantID,Calib start,Calib end,Pupil start,Pupil end,Aligne start,Align end,Task start,Task end
P24_01,,,00:01:45.300,00:01:58.100,00:02:06.900,00:02:18.200,00:03:18.109,00:10:38.355
P24_02,,,00:01:46.300,00:01:53.400,00:02:01.000,00:02:08.900,00:02:56.734,00:10:16.921
P24_03,,,00:01:32.900,00:01:39.700,00:01:49.000,00:01:57.200,00:02:21.407,00:10:32.744
P24_04,,,00:01:40.600,00:01:43.000,00:01:51.700,00:02:06.300,00:02:53.092,00:10:13.397
P24_05,,,00:01:28.600,00:01:41.000,00:01:45.500,00:02:10.100,00:02:30.912,00:14:37.013
P24_06,,,00:01:33.597,00:01:39.934,00:01:43.998,00:01:56.539,00:02:28.293,00:13:55.892
P24_07,,,00:01:51.600,00:01:58.037,00:02:01.959,00:02:12.510,00:02:41.824,00:10:01.921
P24_08,,,00:01:38.450,00:01:42.314,00:01:44.746,00:01:55.321,00:02:19.070,00:10:02.452
P24_09,,,00:01:47.335,00:01:54.929,00:01:58.435,00:02:09.560,00:02:42.880,00:15:09.846
P24_10,,,00:01:38.256,00:01:48.316,00:01:50.069,00:01:58.629,00:02:30.149,00:14:52.353
P24_11,,,00:01:36.813,00:01:45.363,00:01:48.303,00:02:02.881,00:02:32.838,00:11:05.882
P24_12,,,00:01:52.440,00:02:01.188,00:02:06.732,00:02:19.823,00:03:07.794,00:11:23.064
P24_13,,,00:01:40.661,00:01:50.614,00:01:56.043,00:02:08.693,00:02:38.080,00:09:56.716
P24_14,,,00:01:41.294,00:01:49.033,00:01:53.392,00:02:02.152,00:02:42.182,00:10:02.124
P24_16,,,00:02:12.410,00:02:20.498,00:02:23.452,00:02:34.977,00:03:09.355,00:10:29.202
P24_17,,,00:01:31.910,00:01:40.768,00:01:45.327,00:01:53.712,00:02:27.036,00:09:46.438
P24_18,,,00:01:33.723,00:01:42.648,00:01:46.386,00:01:59.010,00:02:30.648,00:15:12.484
P24_19,,,00:01:30.926,00:01:39.824,00:01:44.771,00:01:56.129,00:02:26.155,00:12:14.552
P24_20,,,00:01:34.960,00:01:44.265,00:01:48.144,00:02:00.137,00:02:42.858,00:12:05.280
P24_21,,,00:02:04.618,00:02:12.568,00:02:16.309,00:02:26.571,00:03:00.163,00:10:19.829
P24_22,,,00:01:50.712,00:01:59.605,00:02:04.051,00:02:10.342,00:02:53.405,00:10:14.441
P24_23,,,00:01:44.196,00:01:53.416,00:01:57.652,00:02:06.595,00:02:36.769,00:13:35.374
P24_24,,,00:01:54.614,00:02:01.773,00:02:04.465,00:02:10.653,00:02:45.005,00:28:54.128
P24_25,,,00:01:39.357,00:01:48.998,00:01:54.141,00:02:03.484,00:02:52.785,00:11:56.085
P24_26,,,00:01:37.601,00:01:45.461,00:01:48.404,00:01:57.106,00:02:17.559,00:09:37.666
P24_27,,,00:01:59.030,00:02:07.439,00:02:11.977,00:02:25.809,00:03:00.437,00:11:36.420
P24_28,,,00:01:32.714,00:01:39.035,00:01:43.073,00:02:00.770,00:02:16.368,00:15:58.338
P24_29,,,00:01:38.155,00:01:38.155,00:01:49.455,00:02:00.189,00:02:09.355,00:09:29.422